china,korea
资助,[동사](재물로)돕다.
注重,[동사]중시하다.중점을두다.
驻扎,[동사]주둔하다.주재하다.
铸造,[동사]주조하다.
注视,[동사](면밀하게)주시하다.주의깊게살피다.주목하다.
注射,[동사]주사하다.
着重,[동사]힘을주다.강조하다.
着想,[동사]생각하다.고려하다.
着手,[동사]착수하다.시작하다.
追究,[동사](원인·연유를)추궁하다.따지다.(원인·책임등을)규명하다.
追悼,[동사](죽은자를)추모하다.추도하다.
主办,[동사]주최하다.
转折,[동사]방향이바뀌다.전환하다.전환하다.
转移,[동사](방향이나위치를)전이하다.옮기다.바꾸다.변경하다.
转让,[동사](재물이나권리를)양도하다.넘겨주다.
装卸,[동사]조립하고해체하다.싣고부리다.하역하다.
转达,[동사]전하다.전달하다.
拽,[동사]잡아당기다[끌다].세차게끌다.
拄,[동사](지팡이로)몸을지탱하다.짚다.
周转,[동사]돌리다.융통하다.(자금을)회전시키다.
终止,[동사]마치다.정지하다.
中断,[동사]중단하다.중단되다.
制止,[동사]제지[저지]하다.
指责,[동사]지적하다.질책하다.
制约,[동사]제약하다.
支援,[동사]지원하다.
致使,[동사]…를초래하다.…를야기하다.
支配,[동사]안배하다.분배하다.지배하다.통제하다.
滞留,[동사]…에머물다[체류하다].
治理,[동사]통치하다.다스리다.정비하다.수리하다.
指定,[동사]지정하다.확정하다.
致辞,[동사](의식이나집회에서)인사말을하다.축사를하다.
支撑,[동사]버티다.받치다.견디다.지탱하다.
制裁,[동사]제재하다.
直播,[동사]직파하다.직접파종하다.생중계하다.직접중계하다.
值班,[동사]당번이되다.당직을맡다.
折腾,[동사](육체적·정신적으로)고통스럽게하다.구박하다.잠자리에서몸을이리저리뒤척이다.엎치락뒤치락하다.반복하다.되풀이하다.
斟酌,[동사]헤아리다.짐작하다.
振兴,[동사]진흥시키다.
镇静,[형용사]냉정하다.침착하다.[동사]진정하다.마음을가라앉히다.
震惊,[형용사]깜짝놀라게하다.경악하게하다.[동사]놀라게하다.
挣扎,[동사]발버둥치다.몸부림치다.
珍贵,[형용사]진귀하다.귀중하다.[동사]아끼고사랑하다.진귀하게여기다.
征收,[동사](공출미나세금을)징수하다.
证实,[동사]실증하다.사실을증명하다.
争气,[동사]잘하려고애쓰다.지지않으려고애쓰다.명예를[체면을]세우다.
征服,[동사]정복하다.굴복시키다.정복하다.극복하다.마음을사로잡다.매혹[매료]시키다.
蒸发,[동사]증발하다.증발하다.종적이없이사라지다.
争夺,[동사]쟁탈하다.다투다.
整顿,[동사]정비하다.바로잡다.
正当,[동사]마침…한시기이다.[개사]곧[막]…에있다.
振奋,[형용사]분기하다.분발하다.[동사]용기를북돋우다.고무[격려]하다.
镇定,[형용사]침착하다.냉정하다.[동사]진정시키다.(흥분을)가라앉히다.
折磨,[동사](육체적정신적으로)고통스럽게하다.괴롭히다.
诈骗,[동사]속이다.갈취하다.
照耀,[동사]밝게비추다.환하게비추다.
照样,[동사]어떤모양대로하다.그대로하다.[부사]여전히.변함없이.
招收,[동사](학생·일꾼등을)모집하다.받아들이다.
着迷,[동사]몰두하다.사로잡히다.
瞻仰,[동사]첨앙하다.우러러보다.참배하다.
展现,[동사]드러내다.나타나다.
展示,[동사]드러내다.나타내다.
占领,[동사](토지나진지를)점령하다.점유하다.점거하다.
占据,[동사]점거하다.점유하다.
沾光,[동사]덕을보다.
眨,[동사](눈을)깜박거리다.깜짝이다.
增添,[동사]더하다.늘리다.
赠送,[동사]증정하다.선사하다.
责怪,[동사]원망하다.나무라다.
遭殃,[동사]재난을입다.불행[재앙]을당하다.
糟蹋,[동사]낭비하다.못쓰게하다.모욕하다.짓밟다.유린하다.능욕하다.
遭受,[동사](불행또는손해를)입다.당하다.
赞助,[동사]찬조하다.지지하다.
赞叹,[동사]찬탄하다.감탄하며찬미하다.
攒[攢],[동사]쌓다.모으다.
杂交,[동사]교잡하다.교배하다.
在意,[동사]마음에두다.
栽培,[동사]심어가꾸다.배양하다.인재를기르다[양성하다].(관료사회에서)발탁하다.등용하다.
砸,[동사](무거운것으로)눌러으스러뜨리다.내리치다.때려[두드려]부수다.깨뜨리다.실패하다.망치다.
预期,[동사]예기하다.미리기대하다.
孕育,[동사]낳아기르다.생육하다.배양하다.배태하다.
运行,[동사]운행하다.
运算,[동사]연산하다.운산하다.
酝酿,[동사]술을빚다.술을발효시키다.사전에미리준비하다[마련하다·조성하다·토의하다].(생각등을)가다듬다.기르다.쌓아가다.
蕴藏,[동사]잠재하다.매장되다.
熨,[동사]다리다.다림질하다.
约束,[동사]단속하다.규제하다.
优先,[동사]우선하다.
犹如,[동사]마치…와[과]같다.
诱惑,[동사]꾀다.유혹하다.끌어들이다.매료[매혹]시키다.
踊跃,[동사]펄쩍뛰어오르다.껑충껑충뛰다.[형용사]열렬하다.활기차다.
勇于,[동사]용감하게[과감하게·뱃심좋게·겁내지않고]…하다.
拥有,[동사]보유하다.소유하다.
涌现,[동사]한꺼번에나타나다[생겨나다·배출되다].
拥护,[동사]옹호하다.지지하다.
意味着,[동사]의미하다.뜻하다.
引用,[동사]인용하다.임용하다.
隐瞒,[동사](진상을)숨기다.속이다.
应邀,[동사]초청[초대]에응하다.초청을받아들이다.
引导,[동사]인도하다.인솔하다.안내하다.지도하다.
隐蔽,[동사]은폐하다.가리다.[형용사]은폐된.가려진.
遗留,[동사]남겨놓다.남기다.
依赖,[동사]의지하다.기대다.의존하다.불가분의관계이다.
依旧,[동사](상황이)여전하다.의구하다.[부사]여전히.
遗传,[동사]유전하다.
压制,[동사]억제하다.제지하다.눌러서만들다.압착하여만들다.
压榨,[동사]압착하다.눌러서짜내다[짜다].(잔혹하게)착취[수탈]하다.
压抑,[형용사]답답하다.부자연스럽다.[동사]억누르다.억제하다.
压缩,[동사]압축하다.줄이다.축소하다.
压迫,[동사]억압하다.압박하다.
要命,[부사]엄청.아주.[동사]죽을지경이다.귀찮아죽겠다.목숨을앗아가다.죽을지경에이르다.
遥控,[동사](기계등을)원격조종하다.(사람을)원격조종하다.
摇摆,[동사]흔들거리다.흔들흔들하다.(입장·관점등이)동요되다.동요하다.
演奏,[동사]연주하다.
验证,[동사]검증하다.증명서를대조확인하다.
延续,[동사]계속하다.지속하다.
演习,[동사]훈련하다.연습하다.
厌恶,[동사]염오하다.혐오하다.
验收,[동사]검수(檢收)하다.검사하여받다.
掩饰,[동사](결점·실수따위를)덮어숨기다.감추다.
延伸,[동사]펴다.늘이다.
延期,[동사](기간을)연장하다.늘리다.(원래정한기간을)뒤로미루다.늦추다.
淹没,[동사](큰물에)잠기다.수몰되다.(소리등이)파묻히다.
严密,[형용사]빈틈없다.치밀하다.엄밀하다.주도면밀하다.[동사]엄밀하게하다.빈틈없이하다.
严禁,[동사]엄금하다.엄격하게금지하다.
掩盖,[동사]위에서덮어씌우다.복개하다.덮어가리다.감추다.
演变,[동사]변화발전하다.변천하다.
寻觅,[동사]찾다.
巡逻,[동사]순찰하다.순시하다.
循环,[동사]순환하다.
畜牧,[동사]축산하다.목축하다.
许可,[동사]허가하다.승낙하다.
酗酒,[동사]무절제하게술을마시다.주정하다.
削弱,[동사]약화되다.약해지다.약화시키다.약하게하다.
旋转,[동사](빙빙)돌다.회전하다.(정세를)변환[전환]시키다.돌려세우다.
宣扬,[동사]선양하다.널리알리다.
宣誓,[동사]선서하다.
悬挂,[동사]걸다.매달다.
选拔,[동사](인재를)선발하다.
修建,[동사]건조(建造)하다.건설하다.
修复,[동사]수리하여복원하다.수복하다.(관계를)개선하여회복하다.(조직을)복원하다.재생하다.
心疼,[동사]아까워하다.애석해하다.몹시아끼다[사랑하다·귀여워하다].
信赖,[동사]신뢰하다.신임하다.
熄灭,[동사](등이나불이)꺼지다.소멸하다.
袭击,[동사]기습[습격]하다.(의외의)습격[타격]을입다.
协助,[동사]협조하다.거들어주다.
协商,[동사]협상하다.협의하다.
泄气,[동사]공기가새다.바람이빠지다.분풀이하다.울분을터뜨리다.자신감을[용기를]잃다.기가죽다.[형용사]한심하다.형편없다.
泄露,[동사](비밀·기밀등을)누설하다.폭로하다.
谢绝,[동사]사절하다.정중히거절하다.
携带,[동사]휴대하다.지니다.(아랫사람을)키워주다.이끌어주다.
销毁,[동사]소각하다.불태워없애다.
消毒,[동사]소독하다.해독(害毒)을없애다.
消除,[동사]없애다.해소하다.
陷入,[동사](불리한지경에)빠지다.떨어지다.몰두하다.몰입하다.
掀起,[동사]열다.들어올리다.위로용솟음치다.출렁거리다.불러일으키다.행동하게하다.
衔接,[동사]맞물리다.맞물다.
陷害,[동사]모함하다.모해하다.
响应,[동사](구두로)대답하다.응답하다.(호소·제안등에)호응하다.응하다.
相应,[동사]상응하다.서로맞다.[형용사]적합하다.적당하다.
向往,[동사]열망하다.갈망하다.
镶嵌,[동사]끼워넣다.박아넣다.
相等,[동사]같다.대등하다.
相差,[동사]서로차이가나다.서로다르다.
诬陷,[동사]무함하다.사실을날조하여모함하다.
侮辱,[동사]모욕[모독·능욕]하다.
污蔑,[동사]모독하다.중상하다.더럽히다.
问世,[동사]세상에나오다.발표되다.
伪造,[동사]위조하다.날조하다.
慰问,[동사](말이나선물로)위문하다.위로하고안부를묻다.
为难,[형용사]난처하다.난감하다.[동사]난처[곤란·난감]하게만들다.어렵게[힘들게]하다.
畏惧,[동사]두려워하다.무서워하다.
维持,[동사]유지하다.지키다.지지하다.후원하다.
违背,[동사]위반하다.위배하다.
惋惜,[동사]애석해하다.안타까워하다.
玩弄,[동사]희롱하다.우롱하다.가지고놀다.만지작거리다.(수단을)부리다.쓰다.뽐내다.자랑하다.
挽救,[동사](위험에서)구해내다.구제하다.
挽回,[동사]만회하다.돌이키다.(이권등을)회수하다.되찾다.
完毕,[동사]끝내다.마치다.
挖掘,[동사]파(내)다.캐다.찾아내다.발굴하다.
瓦解,[동사]와해되다.분열하다.와해시키다.붕괴시키다.
歪曲,[동사]왜곡하다.
突破,[동사]돌파하다.(한계·난관을)돌파하다.타파하다.
托运,[동사](짐·화물을)탁송하다.운송을위탁하다.
拖延,[동사](시간을)끌다.지연하다.
妥协,[동사]타협하다.타결되다.
脱离,[동사]벗어나다.떠나다.(관계·연계등을)단절하다.끊다.
涂抹,[동사]칠하다.바르다.마음대로[엉망으로]갈겨쓰다[그리다].함부로낙서하다.(글자등을)덧칠해서지우다.
推销,[동사]판로를확장하다[넓히다].(어떠한제품을)마케팅하다.
推翻,[동사]뒤집어엎다.(정권을)전복시키다.(사회제도를)뜯어고치다.뒤집다.뒤엎다.
推测,[동사]추측하다.헤아리다.
团圆,[동사]흩어졌다가다시모이다.한자리에모이다.[형용사]동글동글[둥글둥글]하다.동그스름[둥그스름]하다.
团结,[동사]단결하다.뭉치다.[형용사]화목하다.우호적이다.
投掷,[동사]던지다.투척하다.
投降,[동사]투항하다.항복하다.(제뜻을굽혀)남에게굴종하다[굴복하다].
投票,[동사]투표하다.
投机,[형용사]견해가일치하다.의기투합하다.[동사]투기하다.
通用,[동사](일정범위안에서)보편적으로사용하다.통용되다.통용하다.바꾸어쓰다.
停滞,[동사]정체되다.막히다.
停顿,[동사]머물다.묵다.(말을)잠시쉬다[멈추다].휴지(休止)하다.(일을)중지하다.중단하다.
停泊,[동사](배가)정박하다.머물다.
体谅,[동사](남의입장에서)알아주다.이해하다.
提炼,[동사]추출하다.정련하다.다듬다.제고하다.
提拔,[동사]발탁하다.등용하다.
跳跃,[동사]뛰어오르다.도약하다.
挑衅,[동사]도전하다.도발하다.
挑剔,[동사](결점·잘못등을)지나치게트집잡다.지나치게책망하다.
调解,[동사]조정하다.중재하다.
调节,[동사]조절하다.
调剂,[동사]조절하다.조정하다.조제하다.
调和,[동사]알맞게배합하다.골고루섞다.분규를해결하다.화해시키다.타협하다.양보하다.[형용사]배합이알맞다.
挑拨,[동사]충동질하다.부추기다.
舔,[동사]핥다.
淘汰,[동사]도태하다.추려내다.
掏,[동사](손이나도구로)꺼내다.끄집어내다.파다.후비다.
贪污,[동사]탐오하다.횡령하다.
探望,[동사]방문하다.문안하다.보다.살피다.
探讨,[동사]연구토론하다.탐구하다.
探索,[동사]탐색[탐구]하다.찾다.
叹气,[동사]탄식하다.한숨짓다.
瘫痪,[동사]반신불수가되다.중풍이들다.(조직따위가)마비되다.정지되다.
探测,[동사](기구로)탐측하다.관측하다.탐구하다.추측하다.
坦白,[형용사]담백하다.솔직하다.[동사]솔직하게말하다.숨김없이고백하다[털어놓다].
塌,[동사]꺼지다.움푹패다.무너지다.붕괴하다.안정되다.진정되다.늘어지다.처지다.
塑造,[동사](진흙등으로)빚어서만들다.조소하다.인물을형상화하다[묘사하다].
苏醒,[동사]되살아나다.소생하다.사물이희생하다[재생하다].
诉讼,[동사]소송하다.고소하다.
损坏,[동사]손상시키다.훼손시키다.
随意,[부사](자기)마음대로.뜻대로.[동사](자기)생각대로하다.뜻대로하다.
算数,[동사]숫자를세다.수를헤아리다.(～儿)한말을책임지다.말한대로하다.그뿐이다.그만이다.
耸[聳],[동사]치솟다.우뚝솟다.주의를불러일으키다.주의를끌다.(어깨를)추키다.으쓱거리다.
饲养,[동사]먹이다.기르다.
思索,[동사]사색하다.깊이생각하다.
思念,[동사]그리워하다.보고싶어하다.
树立,[동사]수립하다.세우다.
束缚,[동사]구속하다.속박하다.줄로묶다.결박하다.
衰退,[동사]쇠약해지다.쇠퇴하다.쇠퇴하다.쇠락하다.
率领,[동사](무리나단체를)거느리다.이끌다.
受罪,[동사]고생하다.고난을당하다.괴롭다.벌을받다.
授予,[동사]수여하다.주다.
收缩,[동사]수축하다.졸아들다.긴축하다.축소하다.
守护,[동사]지키다.수호하다.
收藏,[동사]수장하다.소장하다.보관하다.보존하다.
失踪,[동사]실종되다.종적이묘연하다.
施展,[동사](수완이나재능을)발휘하다.펼치다.(수단을)부리다.취하다.
适宜,[형용사]알맞다.[동사]적합하다.적당하다.
示意,[동사]의사를나타내다.뜻을표시하다.
试图,[동사]시도하다.
逝世,[동사]서거하다.세상을떠나다.
实施,[동사]실시하다.실행하다.
施加,[동사]주다.가하다.
释放,[동사]석방하다.방출하다.내보내다.
识别,[동사]식별하다.변별하다.
拾,[동사]줍다.집다.[수사]열.10.[동사]정리하다.수습하다.
设置,[동사]설치하다.설립하다.설치하다.놓다.
呻吟,[동사]신음하다.
渗透,[동사](액체가)스며들다.투과하다.삼투하다.침투하다.스며들다.
审判,[동사](안건을)심판하다.재판하다.
审理,[동사]심리하다.심사하여처리하다.
生育,[동사]출산하다.아이를낳다.
生锈,[동사]녹이슬다.
盛行,[동사]성행하다.널리유행하다.
生效,[동사]효과가나타나다.효력이발생하다.
盛开,[동사](꽃이)활짝피다.만발하다.
盛产,[동사]많이나다.많이생산하다.
审查,[동사]심사하다.검열하다.
申报,[동사](상급·관련기관에)서면으로보고하다.
设立,[동사](기구·조직등을)설립하다.건립하다.
涉及,[동사]관련되다.연관되다.미치다.관계되다.포함하고있다.언급하다.접촉하다.이해하다.
捎,[동사]가는김에지니고가다.인편에보내다.
擅自,[동사](월권하여)자기멋대로하다.독단적으로하다.
闪烁,[동사]번쩍번쩍하다.반짝이다.떠듬거리다.어물쩍거리다.(기억이)희미하다.어렴풋하다.
上瘾,[동사]중독되다.인이박이다.
筛选,[동사]체로치다.걸러내다.골라내다.
丧失,[동사]잃어버리다.상실하다.
散发,[동사]발산하다.퍼지다.배포하다.
散布,[동사]퍼져있다.곳곳에분산되다.퍼뜨리다.유포하다.
撒谎,[동사]거짓말을하다.허튼소리를하다.
揉,[동사](손으로)비비다.주무르다.(손으로둥글게)빚다.반죽하다.(물건을)구부리다.휘다.
容忍,[동사]용인하다.참고견디다.
容纳,[동사]수용하다.넣다.포용하다.용납하다.
溶解,[동사]용해하다.
人为,[형용사]인위적인.[동사]사람이하다.
忍受,[동사]이겨내다.참다.
忍耐,[동사]인내하다.참다.
任命,[동사]임명하다.
认可,[동사]승낙하다.인가하다.
仍旧,[부사]여전히.변함없이.[동사]예전대로하다.옛것을따르다.
认定,[동사]인정하다.확신하다.확정적으로여기다.
惹祸,[동사]화를초래하다.일을저지르다.
饶恕,[동사](처벌을)면해주다.용서하다.
扰乱,[동사]혼란시키다.어지럽히다.
让步,[동사]양보하다.
染,[동사]염색하다.물들이다.물들다.전염되다.감염되다.연루되다.연관되다.
驱逐,[동사]몰아내다.쫓아내다.
屈服,[동사]굴복하다.
区分,[동사]구분하다.분별하다.
缺席,[동사]결석하다.
确立,[동사]확립하다.확고하게세우다.
确保,[동사]확보하다.확실히보장하다.
瘸,[동사]절뚝거리다.절름거리다.
取缔,[동사](공개적으로)금지[취소]를명하다.
欺骗,[동사]속이다.사기치다.
亲热,[형용사]친밀하고다정스럽다.친절하다.[동사]친밀하고다정한태도를보이다.
钦佩,[동사]경복(敬服)하다.탄복하다.
清醒,[형용사](정신이)맑다.분명하다.[동사]정신이들다.의식을회복하다.
倾听,[동사]귀를기울여듣다.경청하다.
清理,[동사]깨끗이정리[처분]하다.
清洁,[형용사]깨끗하다.청결하다.[동사]깨끗[청결]하게하다.
请教,[동사]가르침을청하다.
清除,[동사]깨끗이없애다.
侵犯,[동사]침범하다.(타국의영역을)침범하다.
起哄,[동사]놀리다.조롱하다.(많은사람이함께)소란을피우다.법석을떨다.
起伏,[동사]기복을이루다.(정서·감정등이)변화하다.변동되다.
欺负,[동사]얕보다.괴롭히다.
启程,[동사]출발하다.길을나서다.
起草,[동사]기초하다.글의초안을작성하다.
洽谈,[동사]협의하다.상담하다.
翘[翹],[형용사]휘다.뒤틀리다.[동사](고개를)치켜들다.곧추세우다.[형용사]뛰어나다.걸출하다.
牵制,[동사]견제하다.
谴责,[동사]비난하다.질책하다.
迁徙,[동사]옮겨가다.
签署,[동사](중요한문서상에)정식서명하다.
迁就,[동사](마지못해)영합하다.끌려가다.
强制,[동사]강제하다.강요하다.
强迫,[동사]강요하다.강제로시키다.
抢救,[동사](응급상황에서)서둘러구호하다.구출하다.구하다.
抢劫,[동사]강도짓하다.(재물을)강탈하다.
牵扯,[동사]연루되다.관련되다.
掐,[동사](손가락으로)꼬집다.끊다.(손톱끝으로)누르다.(범아귀로)조르다.누르다.차단하다.
普及,[동사]보급되다.확산되다.널리확산시키다.보편화시키다.[형용사]보편화된.대중화된.
铺[鋪],[동사](물건을)깔다.펴다.[양사]‘炕(온돌)’을세는단위.
破例,[동사]상례[관례·통례]를깨다.
迫害,[동사]박해하다.학대하다.
泼[潑],[동사](물등의액체를)뿌리다.붓다.[형용사]무지막지하다.제멋대로이다.박력이있다.과감하다.
譬如,[동사]예를들다.
批判,[동사]비판하다.지적하다.비평하다.장단점을분석하다[지적하다].[부사]비판적으로.
拼命,[동사]기를쓰다.죽을힘을다하다.목숨을내걸다[내던지다].목숨을버리다.
评估,[동사]평가하다.
品尝,[동사]맛보다.시식(試食)하다.
拼搏,[동사]전력을다해분투하다.끝까지싸우다.
批发,[동사]도매하다.
疲惫,[형용사]대단히피곤[피로]하다.대단히지치다.[동사]몹시피곤하게[피로하게·지치게]하다.
飘扬,[동사](바람에)펄럭이다.휘날리다.
漂浮,[동사](물이나액체위에)뜨다.(물위에서)이리저리떠다니다.표류하다.(일하는것이)착실[성실]하지않다.겉으로만하다.
烹饪,[동사]요리[조리]하다.
捧,[동사]두손으로받쳐들다.받들다.남에게아첨하다.치켜세우다.[양사]움큼.[두손으로받쳐들거나움켜뜰수있는것에쓰임]
培育,[동사]기르다.재배하다.(인재를)양성하다.육성하다.
配套,[동사]하나의세트로만들다.(부품을모아)조립하다.
抛弃,[동사]버리다.포기하다.
盘旋,[동사]선회하다.빙빙돌다.배회하다.머물다.
攀登,[동사]등반하다.타고오르다.기어오르다[나아가다].[추상적인사물에쓰임]
派遣,[동사]파견하다.
徘徊,[동사]거닐다.왔다갔다하다.망설이다.주저하다.오르락내리락하다.
排放,[동사]배출하다.방류하다.(동물이)정자[난자]를배출하다.차례대로놓다.
排除,[동사]제거하다.없애다.
排斥,[동사]배척하다.
趴,[동사]엎드리다.몸을앞으로기울여물체에기대다.
呕吐,[동사]구토하다.
殴打,[동사]구타하다.
虐待,[동사]학대하다.
挪,[동사]옮기다.움직이다.유용(流用)하다.돌려쓰다.
扭转,[동사]교정하다.바로잡다.(반대방향으로)돌리다.
凝视,[동사]주목[응시]하다.눈여겨보다.
凝聚,[동사]맺히다.응집하다.응집되다.
凝固,[동사]응고하다.굳어지다.고정되어변하지않다.정체되다.
捏,[동사]집다.잡다.(손으로)빚다.빚어만들다.(손으로)잡다.쥐다.날조(捏造)하다.조작하다.
拟定,[동사]입안하다.초안을세우다.추측하여단정하다.
恼火,[동사]화내다.노하다.[형용사]견딜[참을]수없다.짜증나다.
沐浴,[동사]목욕하다.햇빛과비와이슬을흠뻑받다.푹빠지다.흠뻑젖다.
目睹,[동사]직접보다.목도하다.
谋求,[동사]강구하다.모색하다.
摸索,[동사](방법·경험따위를)모색하다.(나아가기위해)더듬다.
抹杀,[동사]말살하다.없애다.
磨合,[동사]길들(이)다.적응하다.조화하다.협의하다.교섭하다.
迷人,[동사]사람을홀리다[미혹시키다].마음이끌리다[쏠리다].매력적이다.매혹적이다.
命名,[동사]명명하다.이름짓다.
弥漫,[동사]자욱하다.가득하다.
迷惑,[동사]미혹되다[미혹시키다].현혹되다[현혹시키다].[형용사]시비를가리지못하다.정신을차리지못하다.
密封,[동사]밀봉하다.밀폐하다.[형용사]밀봉한.밀폐된.
灭亡,[동사]멸망하다.멸망시키다.소멸시키다.
蔑视,[동사]멸시[경시]하다.깔보다.
弥补,[동사]메우다.보충[보상·보완·벌충]하다.
描绘,[동사]베끼다.그리다.
免疫,[동사]면역이되다.
勉强,[형용사]간신히[가까스로·억지로]…하다.마지못하다.내키지않다.견강부회(牽强附會)하다.억지스럽다.그런대로…할만하다.아쉬운대로…할만하다.
勉励,[동사]면려하다.고무(鼓舞)하다.
眯,[동사]실눈을뜨다.눈을가늘게뜨다.잠깐눈을붙이다.선잠[겉잠]을자다.
麻醉,[동사]마취하다.(의식을)마비시키다.현혹시키다.
冒充,[동사]사칭하다.가장하다.
埋怨,[동사]탓하다.불평하다.
蔓延,[동사]만연하다.(사방으로)널리번지다[퍼지다].(풀·덩굴따위가)만연하다.널리뻗다.
忙碌,[동사](어떤일을)서두르다.서둘러하다.[형용사](정신없이)바쁘다.눈코뜰새없다.
埋葬,[동사](시체를)묻다.매장하다.없애버리다.소멸하다.
埋没,[동사]매몰되다.묻히다.매몰하다.간과하다.
迈[邁],[동사]내디디다.내딛다.[형용사]늙다.연로하다.[양사]마일(mile).
麻痹,[동사]마비되다.[형용사]경각심을늦추다.경각심이풀어지다.
履行,[동사]이행하다.실행하다.
掠夺,[동사]빼앗다.강탈하다.
落实,[동사]실현되다.구체화되다.실현시키다.현실화시키다.
落成,[동사]준공되다.낙성되다.
搂[摟],[동사](두팔로)껴안다.(가슴에)품다.[양사]아름.
笼罩,[동사]덮어씌우다.뒤덮다.
垄断,[동사]농단하다.독점하다.
立足,[동사]발붙이다.몸을의탁하다.발붙이고살다.근거하다.입각하다.
力争,[동사]매우노력하다[힘쓰다·애쓰다].노력을아끼지않다.격렬하게논쟁하다.
留神,[동사]주의하다.조심하다.
留念,[동사]기념으로남기다.(남겨두어)기념으로삼다.
流露,[동사](생각·감정을)무의식중에나타내다.무심코드러내다.
留恋,[동사]차마떠나지못하다.떠나기서운해하다.
